"","Year","Estimate","L95","U95"
"1",2012,4464.10439667362,2882.63234013307,7113.95244341224
"2",2013,5164.38190954518,3318.28448051002,8201.9988927424
"3",2014,4145.20396147146,2597.3890848822,6773.35504527406
"4",2015,4156.76323974597,2626.53582745316,6740.14716240205
"5",2016,5613.16940933571,3611.81641983986,8877.46566176399
"6",2017,4135.35288256112,2591.92941190497,6739.29190839069
"7",2018,4410.51835928312,2793.55922138416,7114.68027077331
"8",2019,4405.45544471492,2820.48207952186,7021.35625195806
"9",2020,4258.10967124099,2710.12507334139,6836.23198630131
"10",2021,2734.31317435083,1587.75702539233,4774.53801792623
"11",2022,3307.55413517464,1962.28489231539,5653.17555175774
"12",2023,3091.14755780821,1802.76038179458,5380.56656835453
