"","Year","runsize_obs","SST_win_lag1","SST_win_lag2","SST_sum_lag1","SST_sum_lag2","CFS_min_lag2","CFS_min_lag3","CFS_mean_lag2","CFS_mean_lag3","CFS_max_lag2","CFS_max_lag3"
"1",1978,10031,0.983002890427448,-1.19616425176727,-0.725624060223958,-0.671875970934209,NA,NA,NA,NA,NA,NA
"2",1979,7555,0.539658063028027,0.983002890427448,-0.134794078367272,-0.725624060223958,NA,NA,NA,NA,NA,NA
"3",1980,8671,-1.76388188710997,0.539658063028027,0.302576517927103,-0.134794078367272,NA,NA,NA,NA,NA,NA
"4",1981,11044,0.037573665353616,-1.76388188710997,-1.02943317474025,0.302576517927103,NA,NA,NA,NA,NA,NA
"5",1982,15144,0.89678735545873,0.037573665353616,-1.08795017325573,-1.02943317474025,NA,NA,NA,NA,NA,NA
"6",1983,10774,-0.828793586752153,0.89678735545873,-0.775768217820969,-1.08795017325573,NA,NA,NA,NA,NA,NA
"7",1984,13245,0.717780761323016,-0.828793586752153,0.932690926570468,-0.775768217820969,NA,NA,NA,NA,NA,NA
"8",1985,11260,0.168777655841627,0.717780761323016,-1.05855721526268,0.932690926570468,NA,NA,NA,NA,NA,NA
"9",1986,14381,-0.414986088609577,0.168777655841627,-0.902910886217909,-1.05855721526268,NA,NA,NA,NA,NA,NA
"10",1987,14994,-0.632717402869937,-0.414986088609577,-1.18476881658899,-0.902910886217909,NA,NA,NA,NA,NA,NA
"11",1988,19746,0.792395295765405,-0.632717402869937,-1.06539114015341,-1.18476881658899,NA,NA,NA,NA,NA,NA
"12",1989,19635,0.0456143003906907,0.792395295765405,-1.2462067123342,-1.06539114015341,NA,NA,NA,NA,NA,NA
"13",1990,13108,-1.31279137433996,0.0456143003906907,0.766846220701665,-1.2462067123342,NA,NA,NA,NA,NA,NA
"14",1991,12352,-0.522246520571066,-1.31279137433996,1.3956224069029,0.766846220701665,NA,NA,NA,NA,NA,NA
"15",1992,12134,-0.938792973210741,-0.522246520571066,-0.830668554822675,1.3956224069029,-0.130792792302975,NA,1.11494841647393,NA,0.321220068204228,NA
"16",1993,13370,0.995297155053161,-0.938792973210741,0.380764272481722,-0.830668554822675,0.173772868456831,-0.112245209131415,1.06566333510637,1.09661731899657,1.04274486774503,0.311365923630467
"17",1994,10984,-0.414894585373725,0.995297155053161,0.48477327569616,0.380764272481722,0.88660582682294,0.188802179041234,-0.176133078844351,1.04813364196872,-0.112208035771881,1.02142238866685
"18",1995,16780,0.977416956779817,-0.414894585373725,1.19044911768049,0.48477327569616,-0.802109830330154,0.893400654733277,-1.25260107781966,-0.173470433701141,0.0611414737430453,-0.115173022158457
"19",1996,21615,0.444154737807734,0.977416956779817,1.78256242462574,1.19044911768049,0.315084225101269,-0.775807346864546,-0.739245066438947,-1.23243443142501,-0.6752364989411,0.055421169503834
"20",1997,16487,0.722925276582905,0.444154737807734,-0.788969639001541,1.78256242462574,-0.901976477667895,0.328481139337719,0.445137555988451,-0.727425889986919,0.518124571759694,-0.669252383709488
"21",1998,18896,0.084664577166946,0.722925276582905,1.60148748234022,-0.788969639001541,0.315084225101269,-0.874520357620858,-4.15569821760773,0.437697976095758,-4.26061889248112,0.505140712568171
"22",1999,21021,2.30656669588519,0.084664577166946,0.288164371418872,1.60148748234022,0.288627386183084,0.328481139337719,0.927652756824319,-4.08832550840742,1.33432513624493,-4.19764662571052
"23",2000,20479,-0.0338452456646188,2.30656669588519,-0.789055764197331,0.288164371418872,2.32764646005095,0.302329923748429,0.0498007400622557,0.912367196663462,-0.988617143723608,1.30836811091668
"24",2001,19809,-0.000513497502737443,-0.0338452456646188,0.36694883633701,-0.789055764197331,-0.508084593384699,2.31779471741811,1.24769565861505,0.048789568749567,0.708684791723495,-0.977651974391204
"25",2002,15665,0.405995346702708,-0.000513497502737443,-0.643078132077201,0.36694883633701,0.332605720730258,-0.485178621950346,1.03205561021866,1.22720601309467,-0.0585155274538957,0.692672057644828
"26",2003,12123,-0.528548805940074,0.405995346702708,-0.396484192966435,-0.643078132077201,1.52080876931324,0.345800230672002,-1.26322909680802,1.01507239840609,-1.06954782292361,-0.0623339337730419
"27",2004,15438,1.27695512927062,-0.528548805940074,0.777830266171128,-0.396484192966435,2.67747663609196,1.52027743044006,0.773098826812775,-1.24288963258892,0.439638898549138,-1.05729629434018
"28",2005,11661,0.175743339670532,1.27695512927062,1.33785925248014,0.777830266171128,-0.590705034466325,2.66358373558382,0.478505479057992,0.760326404234188,0.815082119895784,0.427902536262442
"29",2006,13526,0.400291856814587,0.175743339670532,0.303819664517962,1.33785925248014,-1.22184397181739,-0.566844650665617,-0.264450128030003,0.470523317158473,0.95156028798813,0.79737824484645
"30",2007,11697,0.643248622155504,0.400291856814587,-0.60391782104614,0.303819664517962,-0.429530594334183,-1.19069281591707,-0.459347863751108,-0.260351395849425,-0.178643546871446,0.931687149615859
"31",2008,11221,-0.367869547417687,0.643248622155504,0.635558006505404,-0.60391782104614,-0.252289109635174,-0.407532060661466,0.127823268729589,-0.452079980036798,-0.515661122869155,-0.180552568633179
"32",2009,6786,-1.43525373451535,-0.367869547417687,-1.79985825718073,0.635558006505404,-0.736660277842258,-0.232338028900414,0.67196334979122,0.125543405323189,0.50605580398911,-0.512213391407894
"33",2010,10385,-1.93133005514158,-1.43525373451535,-1.16638516480422,-1.79985825718073,1.25294102895707,-0.711113852580275,-0.0158367684942373,0.660835449407474,0.759316526501983,0.493263772806738
