"","Year","runsize_obs","SST_win_lag1","SST_win_lag2","SST_sum_lag1","SST_sum_lag2","CFS_min_lag2","CFS_min_lag3","CFS_mean_lag2","CFS_mean_lag3","CFS_max_lag2","CFS_max_lag3"
"1",1980,4234,-1.76388188710997,0.539658063028027,0.302576517927103,-0.134794078367272,NA,NA,NA,NA,NA,NA
"2",1981,4078,0.037573665353616,-1.76388188710997,-1.02943317474025,0.302576517927103,NA,NA,NA,NA,NA,NA
"3",1982,5783,0.89678735545873,0.037573665353616,-1.08795017325573,-1.02943317474025,NA,NA,NA,NA,NA,NA
"4",1983,5743,-0.828793586752153,0.89678735545873,-0.775768217820969,-1.08795017325573,NA,NA,NA,NA,NA,NA
"5",1984,5316,0.717780761323016,-0.828793586752153,0.932690926570468,-0.775768217820969,NA,NA,NA,NA,NA,NA
"6",1985,5721,0.168777655841627,0.717780761323016,-1.05855721526268,0.932690926570468,NA,NA,NA,NA,NA,NA
"7",1986,5094,-0.414986088609577,0.168777655841627,-0.902910886217909,-1.05855721526268,NA,NA,NA,NA,NA,NA
"8",1987,4527,-0.632717402869937,-0.414986088609577,-1.18476881658899,-0.902910886217909,NA,NA,NA,NA,NA,NA
"9",1988,5706,0.792395295765405,-0.632717402869937,-1.06539114015341,-1.18476881658899,NA,NA,NA,NA,NA,NA
"10",1989,4415,0.0456143003906907,0.792395295765405,-1.2462067123342,-1.06539114015341,NA,NA,NA,NA,NA,NA
"11",1990,4525,-1.31279137433996,0.0456143003906907,0.766846220701665,-1.2462067123342,NA,NA,NA,NA,NA,NA
"12",1991,4206,-0.522246520571066,-1.31279137433996,1.3956224069029,0.766846220701665,NA,NA,NA,NA,NA,NA
"13",1992,4515,-0.938792973210741,-0.522246520571066,-0.830668554822675,1.3956224069029,-0.309853266788735,NA,1.15693091591561,NA,0.651651143583152,NA
"14",1993,4144,0.995297155053161,-0.938792973210741,0.380764272481722,-0.830668554822675,0.529666887861336,-0.289400669886721,1.15392831611116,1.13469065445578,1.94639941459051,0.62412445511681
"15",1994,3988,-0.414894585373725,0.995297155053161,0.48477327569616,0.380764272481722,0.821465692791862,0.540330886314674,-1.44046339992276,1.1317362185863,-0.233815261926808,1.90803804778623
"16",1995,3571,0.977416956779817,-0.414894585373725,1.19044911768049,0.48477327569616,-0.254920131577489,0.828727388973542,-2.47980306743208,-1.42103952394893,-0.861774858678324,-0.253932213768991
"17",1996,4097,0.444154737807734,0.977416956779817,1.78256242462574,1.19044911768049,-0.73545409040154,-0.235108041516353,-1.47015336442319,-2.44370740986417,-0.0433949001194393,-0.876636935582748
"18",1997,4152,0.722925276582905,0.444154737807734,-0.788969639001541,1.78256242462574,-1.72741505775464,-0.710039092610522,-0.117140960180072,-1.45025323932777,0.790589258012667,-0.0651053226117677
"19",1998,3977,0.084664577166946,0.722925276582905,1.60148748234022,-0.788969639001541,1.27263545214248,-1.69043403914518,-0.129040949760062,-0.118944160766118,-1.09528693958789,0.76189991128106
"20",1999,4123,2.30656669588519,0.084664577166946,0.288164371418872,1.60148748234022,0.445284551035103,1.2746366199354,0.902710602225624,-0.130653265658982,1.49298129903583,-1.10819494685474
"21",2000,4468,-0.0338452456646188,2.30656669588519,-0.789055764197331,0.288164371418872,2.01450263776694,0.456932426774505,0.0568439985422971,0.884548223751607,-1.47882830321922,1.45841421374915
"22",2001,5351,-0.000513497502737443,-0.0338452456646188,0.36694883633701,-0.789055764197331,-0.285884823213497,2.00785381670361,1.87953980071168,0.0522499497637392,0.557893547724056,-1.48852676976121
"23",2002,5125,0.405995346702708,-0.000513497502737443,-0.643078132077201,0.36694883633701,-0.385890136616169,-0.265711692466402,0.684411987910143,1.84570835507802,-0.093281948308713,0.531151439098921
"24",2003,3583,-0.528548805940074,0.405995346702708,-0.396484192966435,-0.643078132077201,0.862737524642793,-0.364550968519987,-2.02110116891988,0.669751281636207,-2.07932423115612,-0.114574907319944
"25",2004,4053,1.27695512927062,-0.528548805940074,0.777830266171128,-0.396484192966435,0.746801901028155,0.869518001419563,1.10612810970289,-1.99236343110414,0.942315719577993,-2.08399764350948
"26",2005,2539,0.175743339670532,1.27695512927062,1.33785925248014,0.777830266171128,-1.83440086490922,0.754934158651609,-0.317421841280157,1.08470276305486,0.393409695227191,0.912356699471859
"27",2006,3984,0.400291856814587,0.175743339670532,0.303819664517962,1.33785925248014,-0.524941965237628,-1.79617241811101,0.0676537183515542,-0.316012387513106,0.976647947982155,0.368044016038956
"28",2007,3914,0.643248622155504,0.400291856814587,-0.60391782104614,0.303819664517962,1.8174247436912,-0.501981487031867,0.33538207050254,0.0628862736242157,0.00755225494490585,0.946401629827656
"29",2008,3501,-0.367869547417687,0.643248622155504,0.635558006505404,-0.60391782104614,-0.776521038492056,1.81307380238398,-0.433162716419115,0.326320063801731,-0.584294992590437,-0.0145845021869165
"30",2009,3141,-1.43525373451535,-0.367869547417687,-1.79985825718073,0.635558006505404,-0.817140877281141,-0.750627210190365,0.858304811110525,-0.429896692897107,1.01468970920924,-0.601479069192901
"31",2010,3042,-1.93133005514158,-1.43525373451535,-1.16638516480422,-1.79985825718073,-0.292411680037864,-0.790773431653226,-0.544980289376022,0.840854734566403,1.74351711924327,0.984125050991627
"32",2011,4394,0.748485815902154,-1.93133005514158,-1.2693131277434,-1.16638516480422,0.917417613299526,-0.272162447746057,-0.857957623626256,-0.539920628785215,0.577264542473481,1.70685350671275
