"","Estimate"
"99",20338.4855549648
"100",120666.676794198
"101",10028.9898338874
"102",38956.668435506
"103",32729.3918054313
"104",42248.763423746
"105",39615.5901477324
"106",78111.6955193189
"107",30117.0405041481
"108",29642.6682472173
"109",31023.1089418528
"110",12923.4180946077
"111",21356.5889761152
"112",65623.0526631755
"113",46714.3894799621
"114",51947.7205719752
"115",46076.5114679563
"116",15218.9976504995
"117",32452.0076516879
"118",19846.6788320859
"119",32247.6002542365
"120",29122.199086274
"121",14186.845667094
"122",53279.9328199896
"123",57679.4503604489
"124",62938.8271090534
"125",51380.4971784688
"126",29765.671585937
"127",113029.552901441
"128",34287.9306430605
"129",17206.5375706453
"130",38571.5384719299
"131",31511.7939896075
"132",62417.8478034676
"133",69506.8660950577
"134",30686.5242523647
"135",6090.95270927135
"136",38802.9633611652
"137",12281.0799834134
"138",49904.8578082791
"139",10344.6935438222
"140",9323.42436702537
"141",24377.5544514551
"142",39040.6502654765
"143",46713.4014574205
"144",40810.4071840743
"145",28539.4456093206
"146",34606.6433615559
"147",26981.1282405485
"148",20342.3352075776
"149",36838.7037493416
"150",16745.722784436
"151",42643.2796796976
"152",40763.804549498
"153",68729.7766257629
"154",46379.6495629361
"155",60279.2728147686
"156",14767.0855212225
"157",77222.4408577231
"158",19633.5610886209
"159",39267.1740237168
"160",17264.9272591776
"161",25593.4221208279
"162",35401.2449162602
"163",27248.3064032232
"164",11682.0943118939
"165",71537.6107721857
"166",15111.8046123894
"167",21819.7971434296
"168",68678.4539539078
"169",77178.5542942085
"170",107951.005506189
"171",36896.8121062423
"172",111400.638693534
"173",92822.1320323822
"174",22086.3917456511
"175",38418.7054705138
"176",16449.5270762898
"177",13192.7804825774
"178",42081.4609058808
"179",23436.8083715683
"180",32824.1794484808
"181",35441.0708997706
"182",63807.9377902721
"183",79211.7198579939
"184",26277.5095426351
"185",15801.1797378623
"186",66189.0992622876
"187",59258.5841579784
"188",11669.8825947594
"189",6129.96667865144
"190",57984.189340807
"191",15943.1269401132
"192",75895.3271041094
"193",41294.1129417371
"194",113157.008155795
"195",12189.1189980075
"196",64569.0401912728
"197",23706.834226274
"198",97992.1046135529
"199",72535.5418965537
"200",22573.983650648
"201",76109.0152731569
"202",15091.579557798
"203",11239.4659560068
"204",65624.4875507724
"205",23743.445324629
"206",31991.4300540857
"207",104108.187175276
"208",22904.8804331828
"209",41686.6472034189
"210",15799.9023685123
"211",6382.68312268198
"212",28258.3957964551
"213",18067.4749667872
"214",34903.3700181946
"215",77692.6689290815
"216",53923.3743837993
"217",50884.4124968871
"218",68683.5030516889
"219",78723.4977886717
"220",39349.3481434074
"221",89418.897524001
"222",63021.3296527323
"223",63892.3812954113
"224",66259.8812768492
"225",22903.2593114005
"226",20153.3140648664
"227",44053.8581404599
"228",66986.3139578204
"229",13890.1614759191
"230",18182.2670482328
"231",7207.76253659463
"232",23239.1228847545
"233",29661.1413662107
"234",83468.2634495494
"235",11538.9504720317
"236",24152.6200701552
"237",29918.602691177
"238",71037.214318295
"239",7715.20584157043
"240",53609.089860645
"241",9388.96422727352
"242",63040.7931626544
"243",23556.0617228096
"244",18770.4342207111
"245",35747.4224912175
"246",45368.9803204717
"247",9190.71434939284
"248",17048.1000998364
"249",50932.9329859819
"250",25919.1055005568
"251",28515.6691173733
"252",133002.621382222
"253",51307.9816338002
"254",8959.62331675959
"255",54732.968033625
"256",37026.1959955691
"257",32744.1838691883
"258",133726.965097985
"259",14536.2531139842
"260",23830.6485863213
"261",19256.981965982
"262",63399.9529303308
"263",62573.2358164807
"264",28770.5151040828
"265",23345.6538536583
"266",25390.9162981096
"267",11961.1123567099
"268",22448.9343296682
"269",16472.189585776
"270",119111.395108318
"271",74455.1295973006
"272",60616.4167211586
"273",62696.992723424
"274",17860.1414146569
"275",69520.8533510011
"276",15342.3054121913
"277",33821.5320489738
"278",49575.090491902
"279",17395.5369270426
"280",14304.4352716781
"281",54916.540053157
"282",21429.9748494384
"283",50610.4257373609
"284",17726.4482463635
"285",34058.3162665274
"286",21181.8619905811
"287",72736.1860464923
"288",38535.5187569758
"289",30248.5192126519
"290",67664.0745886256
"291",27871.9852907149
"292",95187.564431111
"293",55913.0849825992
"294",62421.200620662
"295",69520.8773884396
"296",64895.661186345
"297",29817.7219160194
"298",32630.5641067016
"299",77377.8906655812
"300",36961.810172736
"301",20262.3007416657
"302",20152.7801459955
"303",11270.1273204539
"304",42873.1371961346
"305",14304.017570109
"306",59360.9819658424
"307",10799.5954243705
"308",47027.9507252811
"309",10234.1346948479
"310",36736.5179049959
"311",14118.2214078413
"312",26055.3325597848
"313",20034.2412137807
"314",35047.7028104777
"315",67153.8394362383
"316",49311.2118264743
"317",6287.13572587881
"318",25222.2856789621
"319",32200.0729511066
"320",14818.2239782095
"321",169430.232194974
"322",58653.2527365247
"323",77321.7917216341
