"","Model","Year","Estimate","L95","U95","sd","RMSE","MAPE","MSA"
"1","MSA_weighted",2014,25850.5192611866,8465.55133720441,81203.8728424956,0.583996047402462,12552.1727799689,22.4642625182623,18.0990746500332
"2","MSA_weighted",2015,36925.0165186558,12576.4557229895,111256.472656102,0.562728992223487,12552.1727799689,22.4642625182623,18.0990746500332
"3","MSA_weighted",2016,48342.7975683595,16444.0108876573,148654.543521667,0.573116259115062,12552.1727799689,22.4642625182623,18.0990746500332
"4","MSA_weighted",2017,33184.8161471153,11595.1526781932,100206.889222051,0.563849242171645,12552.1727799689,22.4642625182623,18.0990746500332
"5","MSA_weighted",2018,32715.9842374273,11649.2718826086,96985.5790147952,0.554438022667271,12552.1727799689,22.4642625182623,18.0990746500332
"6","MSA_weighted",2019,35291.4037858628,12471.9058877573,106533.018374821,0.563681404754285,12552.1727799689,22.4642625182623,18.0990746500332
"7","MSA_weighted",2020,21696.6829598013,7415.77360518958,67845.3365366625,0.58166901127243,12552.1727799689,22.4642625182623,18.0990746500332
"8","MSA_weighted",2021,19747.0925867263,6823.11822833443,60967.9084275517,0.575174165650611,12552.1727799689,22.4642625182623,18.0990746500332
"9","MSA_weighted",2022,30232.6973077476,10436.7019346991,92995.8255090836,0.573280905176002,12552.1727799689,22.4642625182623,18.0990746500332
"10","MSA_weighted",2023,34168.7787571987,11912.6807478988,104408.719161709,0.569898399771527,12552.1727799689,22.4642625182623,18.0990746500332
"11","MSA_weighted",2024,51979.3992136915,17440.0994421798,164448.102192155,0.587626306692179,12552.1727799689,22.4642625182623,18.0990746500332
