Year,runsize_obs
1996,1209.606988
1997,1354.575274
1998,1411.710796
1999,4065.498236
2000,1391.380105
2001,1985.560149
2002,2125.695676
2003,1964.950493
2004,3959.713746
2005,3043.628494
2006,2783.29
2007,3334.01
2008,2673.29
2009,1769.64
2010,2515.68
2011,2316.091
2012,3119.48
2013,2365.5
2014,2280
2015,2647
2016,3492.310224
2017,5925
2018,5527
2019,3741
2020,2631
2021,3918
