year,escapement
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,3466
1992,3385
1993,2713
1994,3053
1995,2558
1996,2458
1997,3649
1998,2398
1999,1867
2000,2606
2001,2568
2002,2198
2003,2103
2004,2060
2005,3807
2006,3427
2007,2755
2008,3283
2009,2258
2010,2873
2011,3264
2012,3234
2013,2555
2014,2196
2015,3606
2016,2335
2017,2753
2018,2824
2019,2922
2020,1365
2021,1817
