year,catch
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,
1994,
1995,
1996,1241
1997,938
1998,187
1999,635
2000,816
2001,1874
2002,1234
2003,700
2004,1124
2005,1280
2006,789
2007,543
2008,312
2009,549
2010,887
2011,918
2012,799
2013,1330
2014,1153
2015,1566
2016,1453
2017,619
2018,514
2019,465
2020,111
2021,191
