year,catch
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,1769
1984,909
1985,2180
1986,2310
1987,4317
1988,4552
1989,3723
1990,3025
1991,1616
1992,3453
1993,1995
1994,2195
1995,1143
1996,1304
1997,731
1998,334
1999,416
2000,327
2001,1080
2002,941
2003,1544
2004,3226
2005,1923
2006,1459
2007,1098
2008,1042
2009,481
2010,319
2011,955
2012,1304
2013,846
2014,1091
2015,1784
2016,2910
2017,1004
2018,902
2019,530
2020,416
2021,157
