"","River","Year","Estimate","L95","U95"
"1","Chehalis",2022,7728,4562,13768
"2","Hoh",2022,3550,2378,5369
"3","Humptulips",2022,2078,1068,4059
"4","Queets",2022,3542,2289,5480
"5","Quillayute",2022,8008,5526,11607
"6","Quinault",2022,3215,1914,5472
"7","Willapa",2022,3690,2124,6434
