"","Year","Estimate","L95","U95"
"1",2011,3531.48095271047,2392.50081957853,5289.98858578524
"2",2012,3988.62305893649,2725.05378962431,5917.28226836077
"3",2013,3681.13346049657,2531.89857667482,5428.63327132971
"4",2014,3382.31414542287,2333.30497142573,4976.41832183119
"5",2015,3413.312802436,2359.21934139961,5012.05229778029
"6",2016,3540.1033744216,2462.64209108115,5161.0777782493
"7",2017,3336.16050018204,2257.02562556445,4990.15124917949
"8",2018,3362.18558005113,2254.10264257865,5071.26511219178
"9",2019,3341.00715860192,2259.21746833676,4996.01757900546
"10",2020,3007.11657445194,2021.1438014498,4522.3321265464
"11",2021,3043.98503490695,2062.05742792451,4541.03576201036
"12",2022,3549.57833434103,2378.38301553308,5368.82269298305
