"","Year","Estimate","L95","U95"
"1",2011,6682.18827068202,4639.15552776554,9624.95001894167
"2",2012,8677.86985765954,6016.16593614259,12517.1788919705
"3",2013,8347.28949856374,5818.55903708477,11974.9995709835
"4",2014,5927.07584799528,4110.85152778223,8545.73021440192
"5",2015,4071.62307551107,2745.89918072588,6037.40828701939
"6",2016,6500.66971519597,4159.11805765091,10160.4970477645
"7",2017,6585.85500705167,4255.03485636493,10193.4502625817
"8",2018,4681.75919764996,2961.15368962858,7402.13831573508
"9",2019,5427.38202854782,3465.89824887485,8498.94416068516
"10",2020,3518.75768809746,2236.49859110481,5536.17861276119
"11",2021,3142.74268985775,2015.11296208163,4901.37863261594
"12",2022,3541.8209496401,2289.28378066564,5479.65950977996
