"","Year","runsize_obs","SST_win_lag1","SST_win_lag2","SST_sum_lag1","SST_sum_lag2","CFS_min_lag2","CFS_min_lag3","CFS_mean_lag2","CFS_mean_lag3","CFS_max_lag2","CFS_max_lag3"
"1",1981,13309,0.037573665353616,-1.76388188710997,-1.02943317474025,0.302576517927103,NA,NA,NA,NA,NA,NA
"2",1982,10284,0.89678735545873,0.037573665353616,-1.08795017325573,-1.02943317474025,NA,NA,NA,NA,NA,NA
"3",1983,8525,-0.828793586752153,0.89678735545873,-0.775768217820969,-1.08795017325573,NA,NA,NA,NA,NA,NA
"4",1984,7165,0.717780761323016,-0.828793586752153,0.932690926570468,-0.775768217820969,NA,NA,NA,NA,NA,NA
"5",1985,10376,0.168777655841627,0.717780761323016,-1.05855721526268,0.932690926570468,NA,NA,NA,NA,NA,NA
"6",1986,9148,-0.414986088609577,0.168777655841627,-0.902910886217909,-1.05855721526268,NA,NA,NA,NA,NA,NA
"7",1987,10775,-0.632717402869937,-0.414986088609577,-1.18476881658899,-0.902910886217909,NA,NA,NA,NA,NA,NA
"8",1988,10376,0.792395295765405,-0.632717402869937,-1.06539114015341,-1.18476881658899,NA,NA,NA,NA,NA,NA
"9",1989,9145,0.0456143003906907,0.792395295765405,-1.2462067123342,-1.06539114015341,NA,NA,NA,NA,NA,NA
"10",1990,8237,-1.31279137433996,0.0456143003906907,0.766846220701665,-1.2462067123342,NA,NA,NA,NA,NA,NA
"11",1991,8312,-0.522246520571066,-1.31279137433996,1.3956224069029,0.766846220701665,-0.1105095114219,NA,0.20308880086751,NA,-1.41165662618711,NA
"12",1992,12060,-0.938792973210741,-0.522246520571066,-0.830668554822675,1.3956224069029,-0.552624881194034,-0.107870749154326,-0.179859932031206,0.193615567966375,0.361806164633906,-1.40554517564772
"13",1993,11268,0.995297155053161,-0.938792973210741,0.380764272481722,-0.830668554822675,0.0855392413370446,-0.543029238333435,0.740020041963176,-0.183566180494797,1.78212793606639,0.344592995826313
"14",1994,8467,-0.414894585373725,0.995297155053161,0.48477327569616,0.380764272481722,1.41396016954466,0.0850930898997226,-0.135836324052771,0.722460937911635,-0.109025601242085,1.7462346659111
"15",1995,5599,0.977416956779817,-0.414894585373725,1.19044911768049,0.48477327569616,-0.279818074649449,1.39261072813672,-1.97730298346115,-0.140205542361371,0.1553246742812,-0.120046380915625
"16",1996,5024,0.444154737807734,0.977416956779817,1.78256242462574,1.19044911768049,-0.860740696421223,-0.274515167368419,-1.25010356716484,-1.95394078851587,0.300959358627096,0.140827154310224
"17",1997,5441,0.722925276582905,0.444154737807734,-0.788969639001541,1.78256242462574,-0.359693181258991,-0.846296715136058,0.721217497379993,-1.23769257105244,0.887492458935518,0.284546448272026
"18",1998,5103,0.084664577166946,0.722925276582905,1.60148748234022,-0.788969639001541,-0.242454733196729,-0.353133403900533,1.430937349098,0.703941548677151,1.20414036801877,0.863365453100176
"19",1999,5413,2.30656669588519,0.084664577166946,0.288164371418872,1.60148748234022,-0.0805073178650325,-0.237739754594083,1.34933972424278,1.40297343360416,2.03574244947475,1.17584880232652
"20",2000,6110,-0.0338452456646188,2.30656669588519,-0.789055764197331,0.288164371418872,2.64566921855469,-0.0783406533628255,1.01481783990774,1.3226046213608,-1.07988627848004,1.99651363598767
"21",2001,7212,-0.000513497502737443,-0.0338452456646188,0.36694883633701,-0.789055764197331,-0.485500692167541,2.60493829130579,1.99935656363181,0.993120441384711,0.691756956948537,-1.07813827842348
"22",2002,5531,0.405995346702708,-0.000513497502737443,-0.643078132077201,0.36694883633701,0.861297326244754,-0.476961278065064,0.317282647688796,1.96283258648323,0.783909691302895,0.670204268488314
"23",2003,4883,-0.528548805940074,0.405995346702708,-0.396484192966435,-0.643078132077201,1.55273316511502,0.848644278746438,-2.27106334081691,0.306089722095386,-1.8389352454723,0.761145008172289
"24",2004,9472,1.27695512927062,-0.528548805940074,0.777830266171128,-0.396484192966435,2.1050651224225,1.52920006933601,1.22650549291655,-2.24327728632151,0.534311294744849,-1.82720421768465
"25",2005,7744,0.175743339670532,1.27695512927062,1.33785925248014,0.777830266171128,-0.906391040801875,2.07284083937108,-0.657639794715431,1.20162020187516,0.309981264320119,0.514829334894069
"26",2006,8260,0.400291856814587,0.175743339670532,0.303819664517962,1.33785925248014,-0.492444280117665,-0.891228731187499,-0.547778568527687,-0.654150957268134,0.83872788096345,0.293449697674562
"27",2007,6980,0.643248622155504,0.400291856814587,-0.60391782104614,0.303819664517962,0.792847353261172,-0.483795605592323,-0.646538101014909,-0.545944177034339,0.350020034775527,0.815242227867338
"28",2008,5900,-0.367869547417687,0.643248622155504,0.635558006505404,-0.60391782104614,-1.88621361887509,0.781271396317043,-0.260124044468511,-0.643216448596053,-1.13680101781374,0.33296187739188
"29",2009,5394,-1.43525373451535,-0.367869547417687,-1.79985825718073,0.635558006505404,-0.863498028024608,-1.85563336827957,0.597273037201374,-0.262621562239052,0.663395235483414,-1.13430447392696
"30",2010,6745,-1.93133005514158,-1.43525373451535,-1.16638516480422,-1.79985825718073,-0.143925570468798,-0.849010658908953,-0.777322827966633,0.581863619737738,0.554225072933954,0.642215560971171
"31",2011,8157,0.748485815902154,-1.93133005514158,-1.2693131277434,-1.16638516480422,1.17499850818547,-0.140760991754719,-1.00148754878464,-0.772031633882787,0.877931287113674,0.534481206660087
"32",2012,7447,-0.506590994719278,0.748485815902154,0.151947130715927,-1.2693131277434,-0.787201615523387,1.15740923405071,0.475640026263715,-0.992820564822554,0.15903480255693,0.853930030008111
